Batch Size, 1
Num Batches, 2552
kwin1_out,kwin2_out,kwinl_out,activations,sp_rows,sp_cols,mul_min,mul_max,mul_avg,mul_med,mul_std
320,630,352,300,640,395,93,137,116.73902821316615,117.0,7.164441998486291
426,843,525,300,640,405,96,152,119.5364420062696,120.0,7.2029635928112254
531,930,488,300,640,406,97,143,119.83032915360502,120.0,6.773528959302109
627,207,485,300,640,418,98,146,121.45885579937304,121.0,6.754183652368892
622,384,535,300,640,385,95,148,121.22217868338558,121.0,7.028073594579874
627,662,311,300,640,397,94,145,118.46943573667711,119.0,7.775998358108492
583,850,295,300,640,398,94,146,118.24960815047022,118.0,7.177496605830247
498,917,399,300,640,405,89,143,117.39772727272727,117.0,7.643489116182053
363,231,339,300,640,401,98,150,120.7076802507837,121.0,7.144553394587045
243,326,389,300,640,388,92,142,119.48001567398119,119.0,6.895633209976114
78,513,334,300,640,399,97,149,121.6430250783699,122.0,7.455768102364522
77,602,309,300,640,420,91,146,118.84208463949844,119.0,7.516892160633385
137,689,343,300,640,389,97,143,119.33346394984326,119.0,7.627937590738326
212,160,621,300,640,409,97,145,121.36167711598746,122.0,7.64589477465851
255,271,386,300,640,416,100,147,121.98236677115987,122.0,7.00252435743359
346,506,418,300,640,383,95,146,121.95219435736676,122.0,7.398958022876882
435,712,327,300,640,419,85,142,118.83816614420063,119.0,6.999612691299103
516,838,216,300,640,369,94,143,120.62029780564264,121.0,6.631981403832409
546,190,204,300,640,408,96,151,121.37108150470219,121.0,7.064458755894408
559,362,255,300,640,374,94,146,120.8205329153605,121.0,7.8087896600078635
526,572,169,300,640,389,96,151,120.00274294670847,120.0,8.38556989386502
448,697,359,300,640,377,92,149,121.33032915360502,122.0,7.888092006495815
346,710,731,300,640,415,97,144,118.56073667711598,118.0,7.127493948802916
241,230,336,300,640,379,93,141,120.56583072100314,121.0,6.768534880998581
85,346,659,300,640,415,94,147,116.59913793103448,116.0,7.917009734993663
80,544,518,300,640,413,95,148,122.2237460815047,122.0,7.679595797273877
102,567,213,300,640,415,93,146,118.81778996865204,119.0,7.629556871959859
165,568,342,300,640,427,94,142,120.29271159874608,120.0,6.990206551423088
209,277,418,300,640,397,90,144,120.45689655172414,121.0,8.003997302207807
241,368,737,300,640,379,96,143,120.67985893416927,121.0,6.9272825292670515
303,411,226,300,640,393,95,143,119.79584639498432,120.0,7.152959248293916
349,375,470,300,640,421,95,143,118.82915360501568,119.0,7.10731418734227
380,323,252,300,640,384,93,143,119.13989028213166,119.0,7.2159659264221085
384,224,700,300,640,384,97,146,119.32993730407523,119.0,7.289743320331657
367,310,401,300,640,410,95,141,118.96277429467085,119.0,7.0506859411402765
310,380,512,300,640,401,98,149,121.1935736677116,121.0,7.456992011671189
241,360,438,300,640,388,98,151,121.76763322884013,122.0,8.196289169732859
191,301,400,300,640,388,90,147,120.27272727272727,120.0,7.03846857614685
92,5,18,300,640,420,96,143,119.13753918495298,119.0,7.275552843564469
105,91,420,300,640,419,93,143,117.18495297805643,117.0,7.251545673369323
127,276,380,300,640,377,94,145,119.72962382445141,120.0,6.5941885820762
178,437,440,300,640,399,92,146,119.03957680250784,119.0,7.688259041787754
225,550,421,300,640,385,97,148,121.34717868338558,121.0,7.19196041062585
272,6,466,300,640,405,94,142,118.40830721003135,118.0,7.5396689652960855
318,100,335,300,640,412,99,148,122.74255485893417,123.0,6.612833613083421
356,282,437,300,640,425,97,150,122.66496865203762,123.0,7.938205407588115
325,403,388,300,640,404,94,141,118.58150470219435,119.0,7.20471607948766
321,500,452,300,640,373,92,148,119.25940438871473,119.0,7.941899973799503
342,7,383,300,640,397,92,146,118.87617554858934,119.0,7.117213654314279
330,65,454,300,640,395,92,144,117.66496865203762,118.0,7.61326563026741
273,168,442,300,640,388,93,142,119.52978056426332,120.0,7.550398499861243
208,237,487,300,640,369,92,147,121.22609717868339,121.0,8.15591939217291
85,295,349,300,640,393,89,144,117.03800940438872,117.0,8.300284040910057
106,5,376,300,640,401,96,145,119.43652037617555,119.0,6.386755137294219
130,26,385,300,640,394,100,149,122.01489028213166,122.0,7.314354262646705
163,74,356,300,640,376,95,144,118.8851880877743,119.0,6.569717746263033
191,97,448,300,640,411,97,144,118.73079937304075,119.0,7.1328102759784
206,105,415,300,640,396,97,143,118.88087774294671,119.0,7.438245940935483
240,3,407,300,640,405,93,144,116.95062695924764,117.0,7.615355789951581
